t	w	a
0.090300	0.402838	0.240896
0.090400	0.402721	0.240937
0.090500	0.402604	0.240977
0.090600	0.402487	0.241017
0.090700	0.402370	0.241057
0.090800	0.402253	0.241097
0.090900	0.402136	0.241138
0.091000	0.402019	0.241178
0.091100	0.401902	0.241218
0.091200	0.401784	0.241258
0.091300	0.401667	0.241298
0.091400	0.401550	0.241339
0.091500	0.401433	0.241379
0.091600	0.401315	0.241419
0.091700	0.401198	0.241459
0.091800	0.401081	0.241499
0.091900	0.400964	0.241539
0.092000	0.400846	0.241579
0.092100	0.400729	0.241619
0.092200	0.400611	0.241660
0.092300	0.400494	0.241700
0.092400	0.400377	0.241740
0.092500	0.400259	0.241780
0.092600	0.400142	0.241820
0.092700	0.400024	0.241860
0.092800	0.399907	0.241900
0.092900	0.399789	0.241940
0.093000	0.399672	0.241980
